Sentence #,Word,Tag
112,Gebäudevermessung,B-KEY
112,von,O
112,Mehrfamilienhäusern,O
112,",",O
112,Einkaufszentren,O
112,",",O
112,Außenanlagen,O
112,",",O
112,Logistikzentren,O
112,Leistungen,O
112,Gebäudevermessung,B-KEY
112,3D,B-KEY
112,Scan,I-KEY
112,und,O
112,TGA,O
112,Flächenberechnung,B-KEY
112,Planerstellung,B-KEY
112,Unternehmen,O
112,Team,O
112,Über,O
112,uns,O
112,Referenzen,O
112,Kontakt,O
112,Karriere,O
112,GebäudevermessungVom,O
112,Vor-Ort-Termin,O
112,zum,O
112,Grundriss,O
112,Aktuelle,O
112,Gebäudedaten,B-KEY
112,erfordern,O
112,eine,O
112,Vermessung,B-KEY
112,!,O
221,Ein,O
221,umfassendes,O
221,Gutachten,B-KEY
221,.,O
225,Regelung,O
225,des,O
225,Erbes,O
225,mit,O
225,Bewertung,B-KEY
225,von,O
225,Immobilien,B-KEY
225,.,O
332,Ein,O
332,umfassendes,O
332,Gutachten,B-KEY
332,.,O
336,Regelung,O
336,des,O
336,Erbes,O
336,mit,O
336,Bewertung,B-KEY
336,von,O
336,Immobilien,B-KEY
336,.,O
443,Ein,O
443,umfassendes,O
443,Gutachten,B-KEY
443,.,O
447,Regelung,O
447,des,O
447,Erbes,O
447,mit,O
447,Bewertung,B-KEY
447,von,O
447,Immobilien,B-KEY
447,.,O
554,Ein,O
554,umfassendes,O
554,Gutachten,B-KEY
554,.,O
558,Regelung,O
558,des,O
558,Erbes,O
558,mit,O
558,Bewertung,B-KEY
558,von,O
558,Immobilien,B-KEY
558,.,O
665,Ein,O
665,umfassendes,O
665,Gutachten,B-KEY
665,.,O
669,Regelung,O
669,des,O
669,Erbes,O
669,mit,O
669,Bewertung,B-KEY
669,von,O
669,Immobilien,B-KEY
669,.,O
776,Ein,O
776,umfassendes,O
776,Gutachten,B-KEY
776,.,O
780,Regelung,O
780,des,O
780,Erbes,O
780,mit,O
780,Bewertung,B-KEY
780,von,O
780,Immobilien,B-KEY
780,.,O
887,Ein,O
887,umfassendes,O
887,Gutachten,B-KEY
887,.,O
891,Regelung,O
891,des,O
891,Erbes,O
891,mit,O
891,Bewertung,B-KEY
891,von,O
891,Immobilien,B-KEY
891,.,O
998,Ein,O
998,umfassendes,O
998,Gutachten,B-KEY
998,.,O
1002,Regelung,O
1002,des,O
1002,Erbes,O
1002,mit,O
1002,Bewertung,B-KEY
1002,von,O
1002,Immobilien,B-KEY
1002,.,O
1109,Ein,O
1109,umfassendes,O
1109,Gutachten,B-KEY
1109,.,O
1113,Regelung,O
1113,des,O
1113,Erbes,O
1113,mit,O
1113,Bewertung,B-KEY
1113,von,O
1113,Immobilien,B-KEY
1113,.,O
1220,Ein,O
1220,umfassendes,O
1220,Gutachten,B-KEY
1220,.,O
1224,Regelung,O
1224,des,O
1224,Erbes,O
1224,mit,O
1224,Bewertung,B-KEY
1224,von,O
1224,Immobilien,B-KEY
1224,.,O
1331,Ein,O
1331,umfassendes,O
1331,Gutachten,B-KEY
1331,.,O
1335,Regelung,O
1335,des,O
1335,Erbes,O
1335,mit,O
1335,Bewertung,B-KEY
1335,von,O
1335,Immobilien,B-KEY
1335,.,O
1442,Ein,O
1442,umfassendes,O
1442,Gutachten,B-KEY
1442,.,O
1446,Regelung,O
1446,des,O
1446,Erbes,O
1446,mit,O
1446,Bewertung,B-KEY
1446,von,O
1446,Immobilien,B-KEY
1446,.,O
1553,Ein,O
1553,umfassendes,O
1553,Gutachten,B-KEY
1553,.,O
1557,Regelung,O
1557,des,O
1557,Erbes,O
1557,mit,O
1557,Bewertung,B-KEY
1557,von,O
1557,Immobilien,B-KEY
1557,.,O
1664,Ein,O
1664,umfassendes,O
1664,Gutachten,B-KEY
1664,.,O
1668,Regelung,O
1668,des,O
1668,Erbes,O
1668,mit,O
1668,Bewertung,B-KEY
1668,von,O
1668,Immobilien,B-KEY
1668,.,O
1775,Ein,O
1775,umfassendes,O
1775,Gutachten,B-KEY
1775,.,O
1779,Regelung,O
1779,des,O
1779,Erbes,O
1779,mit,O
1779,Bewertung,B-KEY
1779,von,O
1779,Immobilien,B-KEY
1779,.,O
1886,Ein,O
1886,umfassendes,O
1886,Gutachten,B-KEY
1886,.,O
1890,Regelung,O
1890,des,O
1890,Erbes,O
1890,mit,O
1890,Bewertung,B-KEY
1890,von,O
1890,Immobilien,B-KEY
1890,.,O
1997,Ein,O
1997,umfassendes,O
1997,Gutachten,B-KEY
1997,.,O
2001,Regelung,O
2001,des,O
2001,Erbes,O
2001,mit,O
2001,Bewertung,B-KEY
2001,von,O
2001,Immobilien,B-KEY
2001,.,O
2108,Ein,O
2108,umfassendes,O
2108,Gutachten,B-KEY
2108,.,O
2112,Regelung,O
2112,des,O
2112,Erbes,O
2112,mit,O
2112,Bewertung,B-KEY
2112,von,O
2112,Immobilien,B-KEY
2112,.,O
2219,Ein,O
2219,umfassendes,O
2219,Gutachten,B-KEY
2219,.,O
2223,Regelung,O
2223,des,O
2223,Erbes,O
2223,mit,O
2223,Bewertung,B-KEY
2223,von,O
2223,Immobilien,B-KEY
2223,.,O
2330,Ein,O
2330,umfassendes,O
2330,Gutachten,B-KEY
2330,.,O
2334,Regelung,O
2334,des,O
2334,Erbes,O
2334,mit,O
2334,Bewertung,B-KEY
2334,von,O
2334,Immobilien,B-KEY
2334,.,O
2403,Our,O
2403,customers,O
2403,value,O
2403,us,O
2403,as,O
2403,a,O
2403,reliable,O
2403,supplier,O
2403,of,O
2403,brand-independent,O
2403,equipment,O
2403,",",O
2403,construction,B-KEY
2403,machinery,I-KEY
2403,",",O
2403,and,O
